word,count
gracias,868
feliz,633
gente,560
grupo,497
cumple,459
vida,393
lindo,391
amor,358
mañana,315
foto,312
casa,307
amigo,277
ayer,249
bienvenida,238
muchas,232
amiga,229
años,226
todas,223
verdad,221
@5491136025693,221
ganas,221
tiempo,218
hablando,215
dónde,212
necesito,210
momento,206
semana,206
persona,200
comer,200
espero,197
@5491155292601,196
hermoso,196
dios,195
tema,194
hermosa,192
viernes,191
cuenta,191
banco,189
había,185
cara,184
nuevo,182
excel,176
queres,176
tenemos,174
@5491125950010,172
salir,169
saber,167
toda,166
joda,165
sale,164
lugar,163
haciendo,163
hablar,162
@5491134668984,162
noche,160
medio,159
pool,159
hora,159
tambien,155
ahre,155
mucha,153
encima,153
linda,152
algún,151
sábado,150
todavía,149
santi,149
alguna,147
anda,147
pasar,147
comida,146
vos?,139
fotos,138
tranqui,138
quién,138
nombre,137
11:11,137
suerte,137
hizo,136
favor,135
@5491167265861,135
debe,133
depende,133
poner,133
gustan,132
pensé,131
trabajo,131
jajajja,130
justo,130
entiendo,130
dulce,130
varios,129
conozco,128
ustedes,128
miedo,128
vino,128
pueden,127
"bien,",127
jajja,126
despues,126
pone,121
basta,121
stefi,121
peor,120
recién,120
cualquier,119
muchos,119
dejo,118
parte,118
mando,116
dijeron,116
quieren,116
aguante,116
idea,116
finde,116
hablo,116
seas,115
gran,114
podemos,114
querés,113
rico,113
@5491135479454,113
yendo,112
quería,111
tomar,110
hacemos,110
siii,110
rato,109
domingo,109
primero,108
capaz,108
mujeres,108
bienvenido,108
perdón,108
@5491161941187,108
hambre,108
dudas,107
cierto,107
nosotras,107
señor,106
habla,105
conmigo,104
lunes,104
zona,104
listo,104
pobre,104
mujer,103
mala,103
primera,103
pedo,101
razón,101
usted,101
@5491166504028,101
caso,100
personas,100
laburo,100
amigos,100
asado,99
nosotros,99
helado,99
único,98
claramente,98
prefiero,98
estan,97
hagas,97
oeste,97
quedo,97
acuerdo,97
misma,97
tenia,96
tuve,96
video,96
leer,96
mundo,96
circle,95
pasó,95
real,95
posta,95
haber,94
jajajaa,94
siendo,94
esperando,94
grande,94
llevo,93
corazón,93
super,93
importante,93
sería,93
@5491158399611,93
plata,93
seguir,92
nooo,92
hombres,92
otros,92
vuelta,91
varias,91
algunos,91
cerca,91
🤣🤣🤣🤣,90
pizza,90
